id;tipo;sku-pai;sku;ativo;usado;destaque;ncm;gtin;mpn;nome;seo-tag-title;seo-tag-description;descricao-completa;url-video-youtube;estoque-gerenciado;estoque-quantidade;estoque-situacao-em-estoque;estoque-situacao-sem-estoque;preco-sob-consulta;preco-custo;preco-cheio;preco-promocional;marca;peso-em-kg;altura-em-cm;largura-em-cm;comprimento-em-cm;categoria-nome-nivel-1;categoria-nome-nivel-2;categoria-nome-nivel-3;categoria-nome-nivel-4;categoria-nome-nivel-5;imagem-1;imagem-2;imagem-3;imagem-4;imagem-5;grade-genero;grade-produto-com-uma-cor;grade-produto-com-duas-cores;grade-tamanho-de-anelalianca;grade-tamanho-de-calca;grade-tamanho-de-camisacamiseta;grade-tamanho-de-capacete;grade-tamanho-de-tenis;grade-voltagem;grade-tamanho-juvenil-infantil;url-antiga
;sem-variacao;;ALT1002BBZ;S;S;N;;;;BOTAO DE COR. LAMINA C/CALOTA;;;BOTAO DE COR. LAMINA C/CALOTA;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4506.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1002BNF;S;S;N;;;;BOTAO DE COR. LAMINA C/CALOTA;;;BOTAO DE COR. LAMINA C/CALOTA;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4506.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1003ABC;S;S;N;;;;ARGOLA P/CORRENTE;;;ARGOLA P/CORRENTE;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4507.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1003ABZ;S;S;N;;;;ARGOLA P/CORRENTE;;;ARGOLA P/CORRENTE;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4507.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1003ANF;S;S;N;;;;ARGOLA P/CORRENTE;;;ARGOLA P/CORRENTE;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4507.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1003APT;S;S;N;;;;ARGOLA P/CORRENTE;;;ARGOLA P/CORRENTE;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4507.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1003FZBC;S;S;N;;;;CORRENTE P/BASC. FERRO ZINC.  (1.M);;;CORRENTE P/BASC. FERRO ZINC.  (1.M);;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12774.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1003FZBZ;S;S;N;;;;CORRENTE P/BASC. FERRO ZINC.    (1.M);;;CORRENTE P/BASC. FERRO ZINC.    (1.M);;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12774.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1003FZNF;S;S;N;;;;CORRENTE P/BASC. FERRO ZINC.   (1.M);;;CORRENTE P/BASC. FERRO ZINC.   (1.M);;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12774.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1003FZPT;S;S;N;;;;CORRENTE P/BASC. FERRO ZINC.   (1.M);;;CORRENTE P/BASC. FERRO ZINC.   (1.M);;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12774.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10050BC;S;S;N;;;;CALOTA ALVENARIA P/CORRENTE;;;CALOTA ALVENARIA P/CORRENTE;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4509.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10050BZ;S;S;N;;;;CALOTA ALVENARIA P/CORRENTE;;;CALOTA ALVENARIA P/CORRENTE;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4509.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10050NF;S;S;N;;;;CALOTA ALVENARIA P/CORRENTE;;;CALOTA ALVENARIA P/CORRENTE;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4509.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10050PT;S;S;N;;;;CALOTA ALVENARIA P/CORRENTE;;;CALOTA ALVENARIA P/CORRENTE;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4509.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1005ABC;S;S;N;;;;CALOTA AUTOMATICA C/CORDAO DE NYLON;;;CALOTA AUTOMATICA C/CORDAO DE NYLON;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12777.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1005ABZ;S;S;N;;;;CALOTA AUTOMATICA C/CORDAO DE NYLON;;;CALOTA AUTOMATICA C/CORDAO DE NYLON;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12777.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1005ANF;S;S;N;;;;CALOTA AUTOMATICA C/CORDAO DE NYLON;;;CALOTA AUTOMATICA C/CORDAO DE NYLON;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12777.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1005APT;S;S;N;;;;CALOTA AUTOMATICA C/CORDAO DE NYLON;;;CALOTA AUTOMATICA C/CORDAO DE NYLON;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12777.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1013ABC;S;S;N;;;;PIVO P/DOBRADICA INFERIOR;;;PIVO P/DOBRADICA INFERIOR;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12781.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1013ABZ;S;S;N;;;;PIVO P/DOBRADICA INFERIOR;;;PIVO P/DOBRADICA INFERIOR;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12781.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1013ANF;S;S;N;;;;PIVO P/DOBRADICA INFERIOR;;;PIVO P/DOBRADICA INFERIOR;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12781.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1013APT;S;S;N;;;;PIVO P/DOBRADICA INFERIOR;;;PIVO P/DOBRADICA INFERIOR;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12781.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1013F;S;S;N;;;;PIVO P/DOBRADICA INFERIOR 1103A;;;PIVO P/DOBRADICA INFERIOR 1103A;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/15804.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10380BC;S;S;N;;;;CAPUCHINHO P/TRINCO C/FURO 10MM;;;CAPUCHINHO P/TRINCO C/FURO 10MM;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4512.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10380BZ;S;S;N;;;;CAPUCHINHO P/TRINCO C/FURO 10MM;;;CAPUCHINHO P/TRINCO C/FURO 10MM;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4512.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10380NF;S;S;N;;;;CAPUCHINHO P/TRINCO C/FURO 10MM;;;CAPUCHINHO P/TRINCO C/FURO 10MM;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4512.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT10380PT;S;S;N;;;;CAPUCHINHO P/TRINCO C/FURO 10MM;;;CAPUCHINHO P/TRINCO C/FURO 10MM;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/4512.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1038CBC;S;S;N;;;;PRESILHA P/TRINCO ;;;PRESILHA P/TRINCO ;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12784.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1038CBZ;S;S;N;;;;PRESILHA P/TRINCO ;;;PRESILHA P/TRINCO ;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12784.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1038CNF;S;S;N;;;;PRESILHA P/TRINCO ;;;PRESILHA P/TRINCO ;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12784.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT1038CPT;S;S;N;;;;PRESILHA P/TRINCO ;;;PRESILHA P/TRINCO ;;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12784.jpg;;;;;;;;;;;;;;;;
;sem-variacao;;ALT11010BC;S;S;N;;;;DOBRADICA SUPERIOR (USAR 1201);;;DOBRADICA SUPERIOR (USAR 1201);;S;1;imediata;manter disponibilidade;S;0;0;0;Marca Exemplo;;;;;CATEGORIAS;AVT - AL - FERRAGENS EM GERAL E OUTROS ;;;;http://201.55.103.47/cdn/aluita/12788.jpg;;;;;;;;;;;;;;;;
